id;NIF;ano_dados_financeiros;VN ;Result_Financeiro ;Result_Operacional ;RL;Custos_Pessoal ;IRC ;AI ;AFT ;Dep_e_Caixa ;Nome_empresa;Forma_juridica;Num_Empregados;Nome_auditora;Atrativa(100);cod_atrativa(5);cod_atrativa(nome);Seletiva(100);cod_seletiva(5);cod_seletiva(nome);Tax_recomend(100);cod_tax_recomend(5);cod_tax_recomend(nome);Avaliacao(5);cod_Avaliacao(5);cod_Avaliacao(nome);Media_Salarial_min;Media_Salarial_max;tempo_medio_entrevistas_h;horas_trabalhadas;equilibrio_trabalho_pessoal(100);cod_equilibrio_trabalho_pessoal(5);cod_equilibrio_trabalho_pessoal(nome);N_Seguidores_LinkedIn;Vagas_jun_LinkedIn;Vaga_estagio;Vaga_assistente;Vaga_ti;Ano_redes_sociais
11;501854371;2018;4554;-128;358;181;2257;49;974;1454;515;F3M  INFORMATION SYSTEMS ;SA;103;JOAQUIM GUIMARAES MANUELA MALHEIRO E MARIO GUIMARAES ;100;5;excelente;100;5;intermédio;23;2;pouco ;1,5;2;pouco ;1191;1391;0,54;9,09;35;2;pouco ;4972760;2831;9;5180;10645;2020
12;505107546;2018;102981;-83;15291;11 396;25049;3812;58596;9367;7;SIBS FORWARD PAYMENT SOLUTIONS ;SA;396;Deloitte;50;3;intermédio;0;1;bom;31;2;pouco ;1,7;2;pouco ;1123;1323;0,52;8,08;67;4;bom;36272;9;0;14;11;2020
13;504272179;2018;70723;-80;8830;7 015;47955;1735;9935;1223;182;ALTRANPORTUGAL ;SA;1809;MAZARS;47;3;intermédio;64;4;intermédio;71;4;bom;2,3;2;pouco ;1088;1288;1,28;8,08;57;3;intermédio;2127477;2421;28;2942;4576;2020
14;510728189;2018;38925;-27;1256;748;5299;481;65;3542;7756;ITEN SOLUTIONS  SISTEMAS DE INFORMAÇÃO ;SA;369;BDO;33;2;pouco ;66;4;intermédio;50;3;intermédio;2,5;3;intermédio;1200;1400;1,28;7,51;75;4;bom;2928;12;0;8;18;2020
15;504727060;2018;35659;-43;1560;563;21432;955;0;664;0;CISCO SYSTEMS PORTUGAL  SISTEMAS INFORMÁTICOS SOCIEDADE  ;UnipLda;246;PwC;80;4;bom;20;1;bom;55;3;intermédio;2,1;2;pouco ;1454;1654;;;63;4;bom;493209;39;1;5;96;2020
16;503670693;2018;31539;-42;512;245;2688;226;250;793;853;INFORMANTEM  INFORMÁTICA E MANUTENÇÃO ;SA;122;CarlosAlbertoMarquesSantos;0;0;na;0;0;bom;40;2;pouco ;2,7;3;intermédio;1400;1600;1,45;7,48;85;5;excelente;7803;34;2;59;66;2020
17;502829257;2018;31165;107;1615;992;16854;731;0;254;7954;CAPGEMINI PORTUGAL  SERVIÇOS DE CONSULTORIA E INFORMÁTICA ;SA;465;PwC;64;4;bom;42;3;bom;100;5;excelente;2,3;2;pouco ;1400;1600;0,43;;75;4;bom;3165;0;0;0;2;2020
18;507291727;2018;17992;-94;1510;1 318;12275;99;1625;516;2275;ITSECTOR  SISTEMAS DE INFORMAÇÃO ;SA;368;ANTONIO ANJOS F BRANDAO e ASSOCIADOS ;50;3;intermédio;60;3;bom;31;2;pouco ;1,7;2;pouco ;1123;1323;0,52;8,08;67;4;bom;36276;9;0;14;11;2020
19;513945342;2018;18517;-47;1226;948;5330;231;858;3188;7001;EURONEXT TECHNOLOGIES  ;UnipLda;100;EY;100;5;excelente;33;2;bom;31;2;pouco ;1,7;2;pouco ;1123;1323;0,52;8,08;67;4;bom;36272;9;0;14;11;2020
20;503961175;2018;15915;547;2165;2 491;8967;221;0;109;1;WIPRO PORTUGAL ;SA;157;BDO;0;0;na;0;0;na;0;0;na;0;0;na;0;0;;;0;0;na;3526;0;0;1;1;2020
21;504551221;2018;13406;92;448;505;5999;36;2860;370;1276;LINK CONSULTING  TECNOLOGIAS DE INFORMAÇÃO ;SA;150;JT SANTOS e ASSOCIADO  ;66;4;bom;33;2;bom;75;4;bom;2,5;3;intermédio;1263;1463;0,05;8,22;75;4;bom;29302;10;0;1;13;2020
22;501573704;2018;12364;-31;804;757;7886;17;2329;41;2129;I2S  INFORMÁTICA SISTEMAS E SERVIÇOS ;SA;212;Deloitte;75;4;bom;75;4;na;0;0;na;0;0;na;0;0;;;0;0;na;2278205;127;0;28;1084;2020
23;507117336;2018;11595;-30;1914;1 537;7363;347;0;2858;747;BI4ALL  CONSULTORES DE GESTÃO ;LDA;170;RCA;0;1;fugir;50;3;intermédio;63;4;bom;2,5;3;intermédio;1287;1487;1,32;7,58;50;3;intermédio;66932;3;0;0;5;2020
24;501968326;2018;10359;-100;656;414;2628;143;574;567;27;INCENTEA  TECNOLOGIA DE GESTÃO ;SA;114;MAZARS;0;0;na;0;0;intermédio;0;1;fugir;2,3;2;pouco ;0;0;;;100;5;excelente;12242;0;0;1;0;2020
25;505187299;2018;9905;-15;867;788;3454;65;1014;855;1972;ARQUICONSULT  SISTEMAS DE INFORMAÇÃO ;SA;100;TOCHA CHAVES e ASSOCIADOS ;0;0;na;0;0;bom;18;1;fugir;1,9;2;pouco ;1142;1342;1,05;8,01;61;4;bom;584966;1576;39;286;1595;2020
26;505377691;2018;9210;-12;388;630;3393;-255;400;825;33;WISDOM TELE VISION  SISTEMAS INFORMÁTICOS PARA TELEVISÃO ;LDA;120;PwC;0;0;na;0;0;pouco ;57;3;intermédio;2,1;2;pouco ;920;1120;1,28;;64;4;bom;9003;39;0;70;92;2020
27;502980826;2018;8221;-36;2212;1 845;3135;332;409;1282;1074;PDM E FC  PROJECTO DESENVOLVIMENTO MANUTENÇÃO FORMAÇÃO E CONSULTADORIA ;SA;126;ESAC  ESPIRITO SANTO e ASSOCIADOS ;50;3;intermédio;50;3;excelente;71;4;bom;2,3;2;pouco ;1066;1266;;8,15;65;4;bom;18153;0;0;0;0;2020
28;507058917;2018;9088;-15;304;224;4571;65;56;309;25;VAR3F  CONSULTORIA INFORMÁTICA E SISTEMAS ;SA;144;PIRES DE MATOS e PINHEIRO TORRES  SOCIEDADE DE REVISORES OFICIAIS DE CONTAS;0;1;fugir;100;5;fugir;0;0;na;0;0;fugir;0;0;;;0;0;na;2936389;5;0;4;788;2020
29;510722920;2018;7936;-24;339;207;4170;109;0;47;289;ASK BLUE ;LDA;131;;50;3;intermédio;75;4;na;0;0;na;0;0;na;0;0;;;0;0;na;2116;2;0;5;3;2020
30;508123585;2018;7821;-49;349;219;5664;82;217;319;192;MIND SOURCE  CONSULTORES DE PORTUGAL ;SA;160;CONFRARIA RAMOS e RODRIGUES ;100;5;excelente;33;2;excelente;100;5;excelente;2,9;3;intermédio;1200;1400;2,16;8,03;62;4;bom;834;0;0;5;4;2020
31;507969332;2018;7027;-42;703;462;2907;200;0;339;19;INTEGER CONSULTING ;LDA;134;;70;4;bom;70;4;intermédio;63;4;bom;2,5;3;intermédio;1287;1487;1,32;7,58;50;3;intermédio;66941;3;0;0;5;2020
32;507678672;2018;6768;-37;525;365;4348;124;0;819;118;UNIT4 PORTUGAL  ;UnipLda;100;EY;0;0;na;0;0;na;100;5;excelente;3,8;4;bom;1400;1600;3,03;;50;3;intermédio;228;0;0;0;0;2020
33;510070833;2018;6395;-62;287;102;4445;124;128;198;179;DECSKILL  TECNOLOGIAS DE INFORMAÇÃO ;LDA;150;SEBASTIAO e SANTOS ;75;4;bom;75;4;fugir;100;5;excelente;3,4;3;intermédio;2000;2200;;;100;5;excelente;30747;0;0;1;2;2020
34;513418210;2018;5648;-13;394;332;4520;50;0;207;146;ALTER SOLUTIONS PORTUGAL ;LDA;237;;50;3;intermédio;55;3;bom;38;2;pouco ;2,1;2;pouco ;1384;1584;0,56;8,02;61;4;bom;8539;0;0;3;0;2020
35;513266488;2018;3089;-19;199;141;2613;40;0;53;65;DELLENT CONSULTING ;LDA;113;;30;2;pouco ;20;1;bom;40;2;pouco ;1,9;2;pouco ;1000;1200;;7,58;70;4;bom;19752;114;1;184;261;2020
36;500068801;2018;186847;-1;22213;16 653;36550;5560;0;33422;50541;COMPANHIA IBM PORTUGUESA ;SA;442;PwC;80;4;bom;20;1;na;0;0;na;0;0;na;0;0;0,03;;0;0;na;1945;2;0;7;9;2020
37;505089971;2018;40161;-1;673;951;18658;-279;28441;842;120;WE DO CONSULTING  SISTEMAS DE INFORMAÇÃO ;SA;407;PwC;0;0;na;0;0;excelente;0;0;na;0;0;fugir;1650;1850;1,33;8,24;65;4;bom;5835;0;0;7;6;2020
38;506360237;2018;28786;-55;1749;1 485;6389;210;13;789;5699;TIMESTAMP  SISTEMAS DE INFORMAÇÃO ;SA;188;RUIASCENCAOeJOAOROSA;80;4;bom;80;4;intermédio;0;1;fugir;1,7;2;pouco ;2400;2600;;;25;2;pouco ;19133;3;0;0;6;2020
39;506176142;2018;26647;-1;2189;1 592;9584;597;0;199;2788;INDRA  SISTEMAS PORTUGAL ;SA;223;Deloitte;33;2;pouco ;66;4;na;0;0;na;0;0;na;0;0;;;0;0;na;377;0;0;0;0;2020
40;502479418;2018;18246;-464;598;513;11179;-378;6499;56;31;GLINTT  HEALTHCARE SOLUTIONS ;SA;349;;54;3;intermédio;63;4;bom;55;3;intermédio;2,1;2;pouco ;1454;1654;;;63;4;bom;493209;39;1;5;96;2020
41;510148301;2018;17245;-1;1022;906;13097;116;1;2538;2761;TSED  ;UnipLda;253;;91;5;excelente;24;2;bom;65;4;bom;2,7;3;intermédio;1282;1482;1,55;8,48;50;3;intermédio;468233;36;3;34;206;2020
42;504150014;2018;10287;-6;-638;-969;7345;326;4635;96;205;SOCIEDADE ALTITUDE SOFTWARE  SISTEMAS E SERVIÇOS ;SA;143;PwC;100;5;excelente;50;3;na;0;0;na;0;0;na;0;0;;;0;0;na;4736;0;0;5;5;2020
43;508823617;2018;11263;-22;363;216;7632;125;0;2503;189;FINDMORE ;SA;338;;83;5;excelente;41;3;bom;66;4;bom;2,5;3;intermédio;1400;1600;1,04;;75;4;bom;2879;0;0;0;0;2020
44;513435344;2018;8814;-3;2281;1 783;4772;495;0;348;272;READINESS IT  SYSTEMS INTEGRATION ;SA;152;ANGELO COUTO CRIBEIRO e LCARVALHO ;0;1;fugir;75;4;bom;18;1;fugir;1,7;2;pouco ;1050;1250;;8,14;63;4;bom;30817;0;0;1;1;2020
45;510303811;2018;8068;-3;631;557;5655;72;0;89;197;AFFINITY ;SA;218;PONTESBAPTISTAeASSOCIADOS;50;3;intermédio;75;4;excelente;0;0;na;0;0;na;0;0;;;0;0;na;5070;0;0;0;0;2020
46;513199560;2018;7293;-1;352;733;5994;-382;1;578;195;ENGMINDERA  SOFTWARE ENGINEERING ;SA;183;VICTOR JOSE e ASSOCIADOS  SOCIEDADE DE REVISORES OFICIAIS DE CONTAS ;80;4;bom;46;3;pouco ;60;3;intermédio;2,7;3;intermédio;2200;2400;;;80;4;bom;34817;0;0;0;0;2020
47;509364730;2018;5695;11;720;583;3903;148;0;159;207;SMARTIQ ;LDA;140;PONTESBAPTISTAeASSOCIADOS;50;3;intermédio;70;4;intermédio;100;5;excelente;2,7;3;intermédio;1100;1300;;;83;5;excelente;4795;0;0;0;0;2020
48;507107381;2018;5258;-10;1037;862;3218;166;10;891;10;PROZISCOMMERCIAL ;SA;169;;63;4;bom;27;2;excelente;33;2;pouco ;2,1;2;pouco ;1133;1333;2,07;;58;3;intermédio;5791;39;1;44;65;2020
49;504825917;2018;3953;-3;287;276;2795;9;1;341;192;WITHUS  INOVAÇÃO E TECNOLOGIA ;LDA;101;CFA  CRAVO FORTES ANTAO e ASSOCIADOS ;100;5;excelente;100;5;intermédio;31;2;pouco ;2,3;2;pouco ;1242;1442;1,54;8,18;57;3;intermédio;7168;0;0;0;0;2020
50;504705610;2018;99322;-498;24382;29 641;16933;-5756;23005;15759;2214;ALTICE LABS ;SA;351;Deloitte;66;4;bom;100;5;excelente;22;2;pouco ;1,9;2;pouco ;0;0;;;0;0;na;6390;34;0;157;163;2020
51;500074372;2018;65022;111;-289;-363;19396;185;52;2031;6401;AXIANSEU  DIGITAL SOLUTIONS ;SA;461;KPMG;60;3;intermédio;60;3;na;100;5;excelente;3,4;3;intermédio;0;0;;;50;3;intermédio;60367;87;6;37;54;2020
52;502443855;2018;40930;0;1599;1 174;34277;425;0;458;961;ACCENTURE TECHNOLOGY SOLUTIONS  SOLUÇÕES INFORMÁTICAS INTEGRADAS ;SA;886;;57;3;intermédio;48;3;bom;60;3;intermédio;2,5;3;intermédio;1375;1575;0,58;7,54;82;5;excelente;4620;31;0;59;72;2020
53;503502537;2018;32098;212;2665;2 827;7077;51;41;441;24;GLINTT  BUSINESS SOLUTIONS ;LDA;259;OLIVEIRAREISeASSOCIADOS;54;3;intermédio;63;4;pouco ;75;4;bom;2,6;3;intermédio;1720;1920;2,55;7,05;83;5;excelente;1243;0;0;0;0;2020
54;506204650;2018;29369;-46;2864;2 086;17599;733;890;1271;1498;EVERIS PORTUGAL ;SA;480;KPMG;76;4;bom;64;4;pouco ;71;4;bom;2,1;2;pouco ;1116;1316;;8,21;46;3;intermédio;7321;139;0;30;146;2020
55;504857312;2018;20514;-11;-3186;-3 635;11348;439;1473;4;626;NOVABASE BUSINESS SOLUTIONS  SOLUÇÕES DE CONSULTORIA DESENVOLVIMENTO INTEGRAÇÃO OUTSOURCING MANUTENÇÃO E OPERAÇÃO DE SISTEMAS DE INFORMAÇÃO ;SA;264;KPMG;74;4;bom;56;3;excelente;0;0;na;0;0;na;0;0;;;0;0;na;5346;6;0;6;11;2020
56;503541320;2018;20394;359;-4926;-4 558;12888;-9;36749;224;299;GLINTT  GLOBAL INTELLIGENT TECHNOLOGIES ;SA;290;OLIVEIRAREISeASSOCIADOS;54;3;intermédio;63;4;intermédio;54;3;intermédio;2,2;2;pouco ;1075;1275;1,38;8,04;65;4;bom;8969;21;4;35;30;2020
57;506396010;2018;22203;8;4429;3 364;13402;1073;144;551;471;PRIMEIT  CONSULTING ;SA;576;PONTESBAPTISTAeASSOCIADOS;34;2;pouco ;65;4;intermédio;100;5;excelente;2,3;2;pouco ;1720;1920;0,41;;70;4;bom;5801;174;0;274;375;2020
58;509834370;2018;13981;-1;2619;2 602;8185;17;64;324;905;KSR ;SA;205;LOPES VINGA ARTUR MOREIRA e ASSOCIADO ;0;1;fugir;100;5;intermédio;33;2;pouco ;2,1;2;pouco ;1100;1300;0,57;8,08;45;3;intermédio;7938;2;0;0;5;2020
59;503222364;2018;15897;-12;1476;1 009;8273;455;0;313;922;INDRA III SOLUÇÕES DE TECNOLOGIA DA INFORMAÇÃO PORTUGAL  ;UnipLda;235;Deloitte;33;2;pouco ;66;4;pouco ;75;4;bom;2,3;2;pouco ;800;1000;;;75;4;bom;2894;1;0;5;5;2020
60;503470120;2018;8324;-7;72;5;3326;60;95;29;84;HCCM  CONSULTING ;SA;116;MOORE STEPHENS e ASSOCIADOS  ;33;2;pouco ;66;4;bom;14;1;fugir;1,8;2;pouco ;1000;1200;0,52;8,21;53;3;intermédio;7996;52;0;167;171;2020
61;504761013;2018;6582;2;-1815;-1 830;5077;17;30;1183;848;INOSAT  CONSULTORIA INFORMÁTICA ;SA;104;EY;0;0;na;0;0;excelente;0;1;fugir;1,8;2;pouco ;933;1133;0,04;9,15;37;2;pouco ;5261;2;0;0;3;2020
62;510336973;2018;4395;-2;184;130;3472;52;0;0;18;KWAN ;LDA;122;;71;4;bom;71;4;bom;100;5;excelente;2,5;3;intermédio;1600;1800;1,01;;100;5;excelente;4196;34;0;68;85;2020
63;514139927;2018;4199;-21;-312;-240;3033;-92;0;0;550;EVERIS CENTERS GROUP PORTUGAL  ;UnipLda;105;KPMG;76;4;bom;64;4;pouco ;100;5;excelente;3,5;4;bom;1840;2040;3,11;8,05;70;4;bom;20649;0;0;0;0;2020
64;505116812;2018;58060;23;2602;2 434;26519;191;571;258;14569;CELFOCUS  SOLUÇÕES INFORMÁTICAS PARA TELECOMUNICAÇÕES ;SA;661;KPMG;60;3;intermédio;70;4;bom;20;1;fugir;1,9;2;pouco ;1000;1200;1,04;7,48;67;4;bom;4334;17;0;7;19;2020
65;501774360;2018;35079;19;3042;2 935;13900;127;0;18;4683;NOVABASE DIGITAL ;SA;375;KPMG;74;4;bom;56;3;bom;83;5;excelente;2,5;3;intermédio;1020;1220;0,56;7,55;75;4;bom;3748;45;0;119;136;2020
66;504079190;2018;23548;-1;2481;2 031;14553;450;383;48;2313;NOVABASE NEOTALENT ;SA;401;KPMG;74;4;bom;56;3;intermédio;40;2;pouco ;3,1;3;intermédio;1166;1366;2,04;8,45;50;3;intermédio;2018;1;0;0;2;2020
67;508202531;2018;5700;-7;790;581;2811;203;0;211;86;WINGMAN  ESTRATÉGIA INTERNET  ;UnipLda;101;VEIGA PINHO e SILVA  ;50;3;intermédio;100;5;bom;0;1;fugir;1,7;2;pouco ;1200;1400;1,06;;75;4;bom;5390;39;4;54;73;2020
68;507431073;2018;15608;-6;3948;3 330;11403;612;22;126;1133;HIQ CONSULTING  CONSULTADORIA E ENGENHARIA ;SA;392;BDO;45;3;intermédio;81;5;bom;0;1;fugir;2,5;3;intermédio;800;1000;;;50;3;intermédio;5112;0;0;4;4;2020
69;508069491;2018;34032;0;42;-647;17236;688;9225;4048;4796;OLX PORTUGAL ;SA;250;PwC;80;4;bom;40;2;intermédio;88;5;excelente;2,5;3;intermédio;1238;1438;1,19;8,08;67;4;bom;11484;12;1;4;15;2020
70;502186771;2018;20905;0;627;-372;20439;999;705;1516;17809;ORACLE PORTUGAL  SISTEMAS DE INFORMAÇÃO ;LDA;231;EY;0;0;na;0;0;pouco ;80;4;bom;3,5;4;bom;2500;2700;0,36;8,12;70;4;bom;13158;36;2;16;21;2020
71;505205939;2018;31567;0;14400;11 846;13190;2554;1196;785;18454;WITSOFTWARE  CONSULTORIA E SOFTWARE PARA A INTERNET MÓVEL ;SA;310;KPMG;0;1;fugir;100;5;bom;66;4;bom;2,1;2;pouco ;1112;1312;0,57;8,02;66;4;bom;16979;12;0;45;61;2020
72;980566797;2018;30062;0;66;18;12626;48;19;6115;6316;NATIXIS  ;Entidade Estrangeira;245;;60;3;intermédio;50;3;intermédio;72;4;bom;2,7;3;intermédio;1500;1700;1,33;7,57;84;5;excelente;7375;4;0;95;72;2020
73;510830536;2018;25268;0;3696;2 709;15742;987;1225;204;901;AUBAY PORTUGAL ;SA;551;BDO;65;4;bom;56;3;fugir;0;1;fugir;1,3;1;fugir;0;0;0,04;;50;3;intermédio;5737;160;0;532;576;2020
74;980595304;2018;18157;0;1022;735;5916;287;0;262;845;AXA GROUP OPERATIONS SAS  ;Entidade Estrangeira;101;;0;0;na;0;0;intermédio;50;3;intermédio;2,2;2;pouco ;1466;1666;0,59;8,11;65;4;bom;4569;0;0;0;0;2020
75;508966752;2018;11590;0;1419;1 091;7367;327;0;57;262;KCSIT ;SA;266;BDO;36;2;pouco ;52;3;bom;0;1;fugir;1,3;1;fugir;600;800;0,35;;50;3;intermédio;3108;0;0;2;1;2020
76;980540488;2018;10124;0;756;704;7725;51;0;10;816;SKY CP LIMITED  ;Entidade Estrangeira;108;;0;0;na;0;0;pouco ;57;3;intermédio;2,5;3;intermédio;1250;1450;;8,08;64;4;bom;44799;1;10;2;5;2020
77;506305716;2018;9486;0;2901;2 266;1586;635;1;1414;3172;MIGUEL GONÇALVES  ;UnipLda;120;;0;0;na;0;0;bom;65;4;bom;2,7;3;intermédio;1282;1482;1,55;8,48;50;3;intermédio;468236;34;3;32;196;2020
78;510852254;2018;8193;0;895;1 420;5912;-526;0;210;933;UNBABEL ;LDA;103;GRANT THORNTON e ASSOCIADOS  ;100;5;excelente;27;2;na;0;0;na;0;0;na;0;0;;;0;0;na;111016;418;124;342;131;2020
79;509255310;2018;6430;0;581;1 265;4844;-684;21;5472;1275;FABAMAQ SISTEMAS INFORMÁTICOS ;SA;143;MOORE STEPHENS e ASSOCIADOS  ;100;5;excelente;33;2;intermédio;44;3;intermédio;2,5;3;intermédio;1242;1442;1,47;7,53;66;4;bom;120816;7;4;0;16;2020
80;513063145;2018;5081;0;582;462;3343;120;0;176;91;HIQ  BEE ENGINEERING ;SA;157;BDO;69;4;bom;65;4;na;0;0;na;0;0;na;0;0;;;0;0;na;8517;18;0;0;40;2020
